,PAS, def layers, MinMax, 0.9510075996925967
0,PAS, 10/5 layers, MinMax,0.948936896934506
1,PAS, def layers, MinMax,0.9504952608658526
2,PAS, def layers, Std,0.9501110067457944
3,PAS, 32/16 layers, Std,0.9514238749893262
4,PAS, 32/16/8/2 layers, MinMax,0.9502070702758092
5,noPAS, def layers, MinMax,0.9517120655793698
6,noPAS, def layers, Std,0.9509542310648108
7,noPAS, 10/5 layers, Std,0.9491717188967638
8,noPAS, 10/5 layers, MinMax,0.9466633933908292
9,noPAS, 32/16 layers, MinMax,0.951968234992742
